borough,cuisine,name,rating,reduced_cuisine
Manhattan,Halal,Shah’s Halal Food,4.8,Middle Eastern & Mediterranean
Manhattan,Wine Bars,Domino Wine Bar,4.8,Bars & Nightlife
Manhattan,Venues & Event Spaces,Domino Wine Bar,4.8,Other
Manhattan,Tapas/Small Plates,Domino Wine Bar,4.8,European
Manhattan,Colombian,Sabor Y Punto Colombian Restaurant,4.8,Latin American
Manhattan,Breakfast & Brunch,Sabor Y Punto Colombian Restaurant,4.8,American
Manhattan,Seafood,Sabor Y Punto Colombian Restaurant,4.8,Seafood
Manhattan,Sushi Bars,Kyuubi Omakase,4.8,Asian
Manhattan,Seafood,Driftwood,4.8,Seafood
Manhattan,New American,Driftwood,4.8,American
Manhattan,Asian Fusion,Driftwood,4.8,Asian
Manhattan,Latin American,Fito,4.8,Latin American
Manhattan,Cocktail Bars,Fito,4.8,Bars & Nightlife
Manhattan,Tapas/Small Plates,Fito,4.8,European
Manhattan,Bars,Hutch Astoria,4.8,Bars & Nightlife
Manhattan,American,Hutch Astoria,4.8,American
Manhattan,Barbeque,Carnal,4.8,Barbeque
Manhattan,Indian,Red Chilli,4.8,Asian
Manhattan,Thai,The Am Thai,4.8,Asian
Manhattan,Noodles,The Am Thai,4.8,Asian
Manhattan,Desserts,The Am Thai,4.8,Desserts & Sweets
Manhattan,Seafood,The Shell Restaurant,4.8,Seafood
Manhattan,Mediterranean,The Shell Restaurant,4.8,Middle Eastern & Mediterranean
Manhattan,Cocktail Bars,The Shell Restaurant,4.8,Bars & Nightlife
Manhattan,Fast Food,Kolachi,4.8,Fast Food
Manhattan,Thai,Holic Thai Bistro,4.8,Asian
Manhattan,Food Stands,Virgilio Pinchos/Hot Dogs,4.8,Street Food
Manhattan,Delis,Jerome Deli,4.8,Sandwiches
Manhattan,Delis,Sunny Delicatessen,4.8,Sandwiches
Manhattan,Cuban,Las Tejas Cafe,4.8,Latin American
Manhattan,Grocery,Ana Deli Grocery,4.8,Other
Manhattan,Delis,Ana Deli Grocery,4.8,Sandwiches
Manhattan,Chicken Wings,Ana Deli Grocery,4.8,Fast Food
Manhattan,Latin American,Ceila's Pescaderia Restaurant,4.8,Latin American
Manhattan,Fish & Chips,Ceila's Pescaderia Restaurant,4.8,Other
Manhattan,Seafood,Ceila's Pescaderia Restaurant,4.8,Seafood
Manhattan,Cafes,The Heights Café,4.8,Cafe & Drinks
Manhattan,Coffee & Tea,The Heights Café,4.8,Cafe & Drinks
Manhattan,Desserts,The Heights Café,4.8,Desserts & Sweets
Manhattan,Food Trucks,Bex Waffles,4.8,Street Food
Manhattan,Waffles,Bex Waffles,4.8,Desserts & Sweets
Manhattan,Food Trucks,Basmala Halal Food,4.8,Street Food
Manhattan,Halal,Basmala Halal Food,4.8,Middle Eastern & Mediterranean
Manhattan,Egyptian,Egyptian Halal Food,4.8,Middle Eastern & Mediterranean
Manhattan,Halal,Egyptian Halal Food,4.8,Middle Eastern & Mediterranean
Manhattan,Food Stands,Egyptian Halal Food,4.8,Street Food
Manhattan,Bakeries,le cafe coffee,4.8,Other
Manhattan,Coffee & Tea,le cafe coffee,4.8,Cafe & Drinks
Manhattan,Cafes,le cafe coffee,4.8,Cafe & Drinks
Manhattan,Chinese,Sauerkraut Fish,4.8,Asian
Manhattan,Pizza,Bella Trattoria E Pizzeria ,4.8,European
Manhattan,Italian,Bella Trattoria E Pizzeria ,4.8,European
Manhattan,Salad,Cafe Yaya,4.8,Healthy
Manhattan,Ice Cream & Frozen Yogurt,Cafe Yaya,4.8,Desserts & Sweets
